,A1644,A1795,A2029,A2142,A2255,A2319,A3158,A3266,A644,A85,RXC1825,ZW1215,joint
sigma_delta_I,0.540073961019516,0.19903401285409927,0.17478621006011963,0.12105483189225197,0.056430401280522346,0.19460726529359818,0.2757616192102432,0.4235055148601532,0.25389109551906586,0.09388022497296333,0.28202664852142334,0.05417622625827789,0.15627551823854446
sigma_delta_II,0.3076842725276947,0.17697199434041977,0.09241930022835732,0.23766297847032547,0.051591042429208755,0.26984570920467377,0.10525301843881607,0.36114802956581116,0.06056662276387215,0.15249119699001312,0.30969661474227905,0.10203546658158302,0.23486489802598953
sigma_delta_III,0.1801026314496994,0.21746475249528885,0.13220061361789703,0.18118202686309814,0.08636399358510971,0.27124446630477905,0.21112746745347977,0.23051045089960098,0.3212587833404541,0.28112050890922546,0.284201979637146,0.17600548267364502,0.23424871265888214
sigma_delta_IV,0.737516313791275,0.42429080605506897,0.33165259659290314,0.5660795569419861,0.22663520276546478,0.4462631493806839,0.4451424479484558,0.7719630002975464,0.4800572842359543,0.4077692776918411,0.3936087638139725,0.25334374606609344,0.5934497117996216
sigma_delta_in_R_500,0.36915580928325653,0.1923385187983513,0.14323700219392776,0.18932242691516876,0.17268549650907516,0.4354289770126343,0.28321368992328644,0.31547336280345917,0.14312385022640228,0.14182240515947342,0.4116128832101822,0.0637766644358635,0.1785457283258438
ell_inj_I,0.45836205780506134,0.44327227771282196,1.4096700549125671,0.14763599634170532,0.05662054568529129,0.1895759478211403,1.7718080282211304,0.34473593533039093,1.3695239424705505,0.8058853149414062,0.4911727160215378,0.11832380667328835,0.25870703160762787
ell_inj_II,0.6025415360927582,0.49386192858219147,3.339704155921936,0.47182445228099823,0.5302525460720062,0.33866317570209503,0.7752739489078522,0.287345290184021,1.9865403771400452,0.768564909696579,1.2884700894355774,1.3841803669929504,2.553557276725769
ell_inj_III,0.4734916687011719,0.6093349456787109,1.1588473320007324,0.9115886986255646,0.09608952328562737,2.753875255584717,0.5403355360031128,0.5515790283679962,1.817684531211853,2.869663119316101,1.1381913423538208,1.0781580209732056,1.653230905532837
ell_inj_IV,2.482685923576355,0.12104733660817146,1.2212756276130676,5.88178563117981,0.35497117042541504,4.72774863243103,1.7093576788902283,1.190730631351471,0.3223337084054947,2.2689400911331177,2.5876227617263794,1.1530314087867737,6.526720762252808
ell_inj_in_R_500,0.3207922875881195,1.312465250492096,0.3166995346546173,0.522009015083313,0.5736708045005798,5.5964624881744385,2.17158579826355,0.3485088348388672,0.5015349090099335,0.734182208776474,2.8650848865509033,0.7316333651542664,0.4752149432897568
alpha_I,3.998823642730713,2.825537323951721,3.1787590980529785,5.167673826217651,4.023468017578125,4.891291856765747,2.9044711589813232,5.2085607051849365,5.855016231536865,3.0588079690933228,4.96520733833313,1.810099482536316,4.0782999992370605
alpha_II,3.8139753341674805,5.941957950592041,3.7900019884109497,6.010016918182373,4.727490663528442,4.808306932449341,3.694169521331787,4.936443328857422,4.965268135070801,4.098175287246704,3.372317671775818,4.533822059631348,3.6808043718338013
alpha_III,4.8488218784332275,2.9567950963974,3.398481011390686,5.1318440437316895,2.274929404258728,3.5379339456558228,4.299712896347046,3.967163562774658,4.592111587524414,2.9612149000167847,2.8477693796157837,4.772511720657349,3.1499216556549072
alpha_IV,3.717321991920471,5.685398817062378,4.854461908340454,3.308252215385437,3.5382643938064575,4.0080389976501465,3.049907684326172,2.719907760620117,4.475506782531738,4.09998631477356,3.9271087646484375,4.677030086517334,2.895268440246582
alpha_in_R_500,3.39860999584198,3.0721566677093506,2.9009710550308228,4.0535712242126465,3.5037050247192383,3.198971152305603,2.829621195793152,4.263928174972534,3.3212634325027466,3.877227306365967,2.8087838888168335,4.892838954925537,3.674930453300476
sqrt_C_I,1.1365209817886353,1.0196148753166199,1.0151601433753967,1.0073004364967346,1.0015909671783447,1.0187600255012512,1.03732568025589,1.0859820246696472,1.0317270159721375,1.0043970346450806,1.0390086770057678,1.001466453075409,1.0121374130249023
sqrt_C_II,1.0462645888328552,1.0155388116836548,1.0042616128921509,1.0278539061546326,1.0013299584388733,1.0357686281204224,1.0055238604545593,1.0632157921791077,1.0018324851989746,1.0115599632263184,1.0468581318855286,1.0051921010017395,1.0272105932235718
sqrt_C_III,1.0160890221595764,1.0233723521232605,1.008700668811798,1.0162809491157532,1.0037224292755127,1.0361339449882507,1.0220444202423096,1.0262237191200256,1.0503367185592651,1.0387631058692932,1.03960120677948,1.0153708457946777,1.027069866657257
sqrt_C_IV,1.2425499558448792,1.0862885117530823,1.0535622239112854,1.1491065621376038,1.0253602266311646,1.0950574278831482,1.0946012139320374,1.2633000016212463,1.1092587113380432,1.0799424648284912,1.0746756792068481,1.0315924882888794,1.1628338098526
sqrt_C_in_R_500,1.0659624338150024,1.0183290839195251,1.010206401348114,1.0177637338638306,1.0148006081581116,1.0906871557235718,1.0393315553665161,1.0485816597938538,1.0101902484893799,1.0100067257881165,1.0813996195793152,1.002031683921814,1.0158143043518066
M_I,0.3395335525274277,0.12552250921726227,0.11017000675201416,0.07595901563763618,0.03545926511287689,0.12311087548732758,0.1734055057168007,0.26641394197940826,0.15936755388975143,0.05920686013996601,0.17722705006599426,0.03410516865551472,0.09849920496344566
M_II,0.19401231408119202,0.11157756671309471,0.058256179094314575,0.14941022545099258,0.03235306963324547,0.1702747419476509,0.06635256484150887,0.22822002321481705,0.03802561014890671,0.09622133895754814,0.194949671626091,0.06429745629429817,0.14798607677221298
M_III,0.1135878749191761,0.13716048747301102,0.08320862427353859,0.1142360232770443,0.05440175160765648,0.17042576521635056,0.13301683217287064,0.14562396705150604,0.20146368443965912,0.17704767733812332,0.17868467420339584,0.11091262102127075,0.14737404882907867
M_IV,0.4662305414676666,0.2661825716495514,0.20896469056606293,0.3570350408554077,0.14339406043291092,0.2799660414457321,0.28069251775741577,0.4860581010580063,0.3018442690372467,0.2580403983592987,0.24792492389678955,0.15926127135753632,0.37318524718284607
M_in_R_500,0.23201880604028702,0.12131614238023758,0.09018713608384132,0.11950710788369179,0.10877523943781853,0.2748582661151886,0.1777464523911476,0.19818007200956345,0.09024293720722198,0.08940960094332695,0.25896719098091125,0.04015795700252056,0.11243083328008652
P_NTH/P_TOT_I,6.038070440292358,0.8683315515518188,0.6675104796886444,0.32400938868522644,0.07064492255449295,0.8369492590427399,1.6490108370780945,3.7856141328811646,1.3936564922332764,0.19331096857786179,1.7362163066864014,0.06487027183175087,0.5358548164367676
P_NTH/P_TOT_II,2.0640358924865723,0.6865665018558502,0.18775276094675064,1.228925883769989,0.0579961109906435,1.5922371745109558,0.24400779604911804,2.8027138710021973,0.07977600768208504,0.5115137994289398,2.066524863243103,0.2268054187297821,1.2012604475021362
P_NTH/P_TOT_III,0.708592414855957,1.0341297388076782,0.3830190449953079,0.7216485142707825,0.1633109152317047,1.586414396762848,0.9748416841030121,1.1579439043998718,2.2152897119522095,1.7144296765327454,1.7360134720802307,0.6807554364204407,1.1889668703079224
