,A1644,A1795,A2029,A2142,A2255,A2319,A3158,A3266,A644,A85,RXC1825,ZW1215
log_10_n_e2,-4.044318599489069,-3.574391801726387,-3.2409711237055294,-4.267190641977095,-6.093154593569826,-4.977943726149059,-5.147492592391524,-5.605896956601306,-4.678252432624518,-3.2237825146860106,-5.539200536050206,-5.448368184226866
log_10_r_c,-1.942808939825086,-1.4748776499535987,-1.911274397575863,-1.273595517087942,-0.5785631008185723,-1.0326870631541292,-1.2325194245770534,-0.9916221147538984,-1.0490069350940119,-1.9864916500854108,-1.5107258455131662,-0.9938958533625499
log_10_r_s$,-0.05979872244827139,-0.2552631540535379,-0.9894941324092994,-0.07921807366137112,-0.07863234845874945,0.0005698765621905411,-0.5269170130735081,-0.20211574436770663,-0.10248727582311273,-0.639505566399605,-0.5607403185641056,-0.3000813285028936
beta,0.3412944929265364,0.5016254657592403,0.30966134707285453,0.4756428090506925,0.5320466890730767,0.458864387216484,0.2690452266072544,0.32655404623369927,0.5654661199964464,0.3567742509032995,0.14852093215220197,0.41362883591238453
epsilon,3.4655999923274408,2.031311453525171,1.6482931328433064,4.924504712293169,2.763035727313263,4.661997447391828,2.5263761742404505,4.983062714213915,4.073096122295917,1.3771285758289538,2.993319450561734,3.4564138120981904
log_10_bkg,-7.042448384160613,-7.339327741126153,-7.334444496284409,-7.440102966655045,-7.644743602638322,-6.905335429627858,-7.452772198242552,-7.228564349759564,-7.482791653459914,-8.643885510829708,-7.177948731747954,-7.54180424159798
theta,1.14456859909937,-0.1975076351248024,-0.34690779152000994,0.8539084483242492,1.4812005009870461,0.4448426301093955,1.4179044427976848,-1.1357622107538432,-0.20497174206021695,0.3547802112606252,1.5705180527754912,-1.0938366879657078
e,0.41057880628556087,0.5785158102968793,0.6122004479087955,0.753248139340793,0.553353479197469,0.6510604908099977,0.6393798488456999,0.5799839703507392,0.6213675667332641,0.5086480753738274,0.6239217871409277,0.6370998126574903
x_c,0.008218125355926031,-0.00040917858138834334,-0.00020105140656807488,0.0034687299705756045,-0.00012173998641004086,0.009526223525268468,-0.0017066492397698157,-0.01199689059132622,0.0019770813419521813,-0.0009157729961959028,-0.006461054217796834,-0.0003408618370273896
y_c,-0.002669757924843509,0.005959958792975678,0.00088943517854193,0.004939122038535874,0.0004617372061812823,0.01789174760125789,-0.0020631423194409472,0.007981977191715834,-0.01396420331710134,-0.0004682698491083171,0.0042829086381249,0.004095689179698859
